weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_no_hi_eitc,persons_lifted_no_hi_eitc,gap_closed_no_hi_eitc_$,poverty_rate_no_credits,persons_lifted_no_credits,gap_closed_no_credits_$,poverty_rate_expanded_ctc_2021,persons_lifted_expanded_ctc_2021,gap_closed_expanded_ctc_2021_$,poverty_rate_hi_eitc_100pct,persons_lifted_hi_eitc_100pct,gap_closed_hi_eitc_100pct_$,poverty_rate_hi_ctc_300,persons_lifted_hi_ctc_300,gap_closed_hi_ctc_300_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$,poverty_rate_hi_ctc_1000,persons_lifted_hi_ctc_1000,gap_closed_hi_ctc_1000_$
37011.0,15109.0,0.11474966901731917,4247.0,19944245.023312464,14,0.12466563994488125,367.0,988590.6981243789,0.12334170922158277,318.0,300594.3184067905,0.1187214611872146,147.0,349789.6138570346,0.1536300018913296,1439.0,2717272.3738879114,0.0948096511847829,738.0,1426180.263380304,0.1140471751641404,26.0,462935.9085478112,0.11202075058766313,101.0,127553.79208951443,0.10918375618059496,206.0,267237.78511196375,0.10864337629353435,226.0,402908.0826414414
38059.0,14734.0,0.10231482697916393,3894.0,22415745.39645682,16,0.12819569615596837,985.0,1491869.8169897906,0.10231482697916393,0.0,142467.1790000014,0.10841062560760924,232.0,400238.9883472137,0.14853254158017815,1759.0,3491071.7546201237,0.08484195591055992,665.0,1246243.0596903637,0.09632412832707113,228.0,514712.31714426726,0.10010772747576131,84.0,131136.55445351824,0.10010772747576131,84.0,277401.55445351824,0.10010772747576131,84.0,423666.55445351824
21917.0,7915.0,0.07683533330291555,1684.0,9026547.477361057,18,0.09841675411780809,473.0,520271.89509057254,0.09056896473057444,301.0,81175.96964301541,0.09841675411780809,473.0,126219.4110905733,0.1160286535565999,859.0,1164134.4792222753,0.06894191723319798,173.0,327862.03773392737,0.07263767851439522,92.0,39756.69621899724,0.07683533330291555,0.0,29400.0,0.07683533330291555,0.0,63700.0,0.07464525254368755,48.0,97235.53969068639
42306.0,15528.0,0.07566302652106084,3201.0,16151771.223370457,19,0.09433650073275658,790.0,1069315.34274997,0.08781260341322744,514.0,529475.9849019442,0.08232874769536236,282.0,389950.49548956566,0.0983784805937692,961.0,2689619.519028334,0.07017917080319576,232.0,1272250.8667600602,0.07433933720985203,56.0,437655.89218285866,0.07566302652106084,0.0,106050.0,0.07566302652106084,0.0,229775.0,0.07334657022644542,98.0,345397.48102627695
93875.0,34125.0,0.09992010652463382,9380.0,47932007.97557199,20,0.1275525965379494,2594.0,3480029.467698619,0.11599467376830892,1509.0,1219652.9255397022,0.10918774966711052,870.0,1003734.4297159761,0.13837549933422102,3610.0,8133029.85881938,0.08044740346205059,1828.0,4699548.310799636,0.09265512649800266,682.0,1018600.0652592629,0.09912117177097204,75.0,434006.4633163065,0.09707589880159787,267.0,924960.1438207775,0.09581890812250334,385.0,1391353.7302927226
19720.0,6636.0,0.09579107505070994,1889.0,7461722.08126794,21,0.12276876267748478,532.0,1224423.687599048,0.10370182555780932,156.0,127420.45784932189,0.10370182555780932,156.0,469117.861849322,0.15101419878296146,1089.0,2685272.8536727205,0.05040567951318459,895.0,789796.5086922431,0.0787525354969574,336.0,452512.6391338231,0.09244421906693712,66.0,95304.60697867721,0.09244421906693712,66.0,201879.6069786772,0.07464503042596349,417.0,305260.92997573595
39198.0,12645.0,0.1163324659421399,4560.0,19200694.63592031,22,0.11857747844277769,88.0,1212730.2250061668,0.1163324659421399,0.0,285600.0,0.1163324659421399,0.0,475201.3440000005,0.1395224246135007,909.0,2359819.254516635,0.09916322261339865,673.0,1880626.1568000615,0.100464309403541,622.0,556420.5591139272,0.1163324659421399,0.0,162120.0,0.11510791366906475,48.0,349249.3082970828,0.11510791366906475,48.0,534469.3082970828
21431.0,8071.0,0.08137744388969251,1744.0,10677832.94541831,23,0.09084970370024731,203.0,646704.6074938681,0.08137744388969251,0.0,58639.31279999949,0.09084970370024731,203.0,230151.367493866,0.09346274088936588,259.0,1005914.2144096624,0.06686575521440903,311.0,882354.4256942943,0.08137744388969251,0.0,320948.69268000126,0.08137744388969251,0.0,73290.0,0.08137744388969251,0.0,158795.0,0.08137744388969251,0.0,244300.0
58520.0,25528.0,0.15095693779904307,8834.0,48525698.48458867,24,0.17200956937799042,1232.0,2589875.1167681217,0.1598427887901572,520.0,594831.318060711,0.15644224196855777,321.0,857151.7978819236,0.1738550922761449,1340.0,4902436.021349601,0.13993506493506494,645.0,2571586.764358774,0.14774436090225565,188.0,1041544.950750947,0.15011961722488038,49.0,215251.9639852494,0.15011961722488038,49.0,464906.9639852494,0.14938482570061518,92.0,711278.1668938845
88520.0,32228.0,0.0719159511974695,6366.0,32554786.72908874,25,0.08315634884771803,995.0,2158060.748665221,0.07381382738364212,168.0,175509.33562351763,0.07314731134206959,109.0,722009.9323631823,0.10596475372797108,3014.0,5374666.323079392,0.06002033438770899,1053.0,2936064.5075793266,0.0674423859014912,396.0,798835.9322578758,0.0710122006326254,80.0,241069.11526178196,0.0710122006326254,80.0,519879.11526178196,0.06908043380027112,251.0,787600.2702161632
