weighted_persons,weighted_filers,poverty_rate_baseline,persons_in_poverty_baseline,poverty_gap_baseline_$,house_district,poverty_rate_rxkids_hi,persons_lifted_rxkids_hi,gap_closed_rxkids_hi_$,poverty_rate_no_eitc,persons_lifted_no_eitc,gap_closed_no_eitc_$,poverty_rate_no_ctc,persons_lifted_no_ctc,gap_closed_no_ctc_$,poverty_rate_hi_ctc_650,persons_lifted_hi_ctc_650,gap_closed_hi_ctc_650_$
21917.0,7915.0,0.07683533330291555,1684.0,9026547.477361057,18,0.07683533330291555,0.0,51054.300000000745,0.09841675411780809,473.0,520271.89509057254,0.09056896473057444,301.0,81175.96964301541,0.07683533330291555,0.0,63700.0
42306.0,15528.0,0.07566302652106084,3201.0,16151771.223370457,19,0.07566302652106084,0.0,242708.40000000037,0.09433650073275658,790.0,1069315.34274997,0.08781260341322744,514.0,529475.9849019442,0.07566302652106084,0.0,229775.0
93875.0,34125.0,0.09992010652463382,9380.0,47932007.97557199,20,0.09707589880159787,267.0,721724.9438207746,0.1275525965379494,2594.0,3480029.467698619,0.11599467376830892,1509.0,1219652.9255397022,0.09707589880159787,267.0,924960.1438207775
19720.0,6636.0,0.09579107505070994,1889.0,7461722.08126794,21,0.09244421906693712,66.0,178234.20697867684,0.12276876267748478,532.0,1224423.687599048,0.10370182555780932,156.0,127420.45784932189,0.09244421906693712,66.0,201879.6069786772
39198.0,12645.0,0.1163324659421399,4560.0,19200694.63592031,22,0.1163324659421399,0.0,381169.799999997,0.11857747844277769,88.0,1212730.2250061668,0.1163324659421399,0.0,285600.0,0.11510791366906475,48.0,349249.3082970828
21431.0,8071.0,0.08137744388969251,1744.0,10677832.94541831,23,0.08137744388969251,0.0,98099.09999999963,0.09084970370024731,203.0,646704.6074938681,0.08137744388969251,0.0,58639.31279999949,0.08137744388969251,0.0,158795.0
58520.0,25528.0,0.15095693779904307,8834.0,48525698.48458867,24,0.15011961722488038,49.0,463423.6639852524,0.17200956937799042,1232.0,2589875.1167681217,0.1598427887901572,520.0,594831.318060711,0.15011961722488038,49.0,464906.9639852494
88520.0,32228.0,0.0719159511974695,6366.0,32554786.72908874,25,0.0710122006326254,80.0,393416.3152617775,0.08315634884771803,995.0,2158060.748665221,0.07381382738364212,168.0,175509.33562351763,0.0710122006326254,80.0,519879.11526178196
22335.0,8366.0,0.09138124020595478,2041.0,8996828.926579485,26,0.08797850906648758,76.0,181679.86489747465,0.09693306469666443,124.0,904986.2730721254,0.09138124020595478,0.0,0.0,0.08117304678755317,228.0,212032.79799457453
36887.0,13854.0,0.08062461029631035,2974.0,14827191.608319387,27,0.07498576734350855,208.0,170420.6459537819,0.0970531623607233,606.0,1080640.712123042,0.08582969609889662,192.0,92265.03828352317,0.07498576734350855,208.0,219283.64595378377
36371.0,15038.0,0.11861098127629155,4314.0,25596957.244852945,28,0.11564158257952764,108.0,220646.87069893628,0.13499766297324792,596.0,1131958.261806745,0.12083803029886447,81.0,86433.60758247972,0.11421187209590059,160.0,270545.65390983224
68541.0,27185.0,0.11413606454530864,7823.0,41531199.42106529,30,0.11413606454530864,0.0,540213.3000000045,0.1390846354736581,1710.0,2173343.26167167,0.11658715221546227,168.0,168336.8760582134,0.11413606454530864,0.0,519610.0
30483.0,10821.0,0.16218876094872553,4944.0,23220471.064429484,31,0.15867860774858117,107.0,313327.59097155184,0.1815110061345668,589.0,1093973.5241702348,0.17032444313223763,248.0,244295.00705162808,0.16104057999540727,35.0,340643.4885940254
61595.0,25425.0,0.10140433476743242,6246.0,38291267.53923177,32,0.0950726520009741,390.0,355899.30046161264,0.10776848770192386,392.0,1803077.2838872895,0.10530075493140677,240.0,256150.69611174613,0.0950726520009741,390.0,444399.5004616156
31420.0,14298.0,0.15792488860598344,4962.0,31465515.579100072,35,0.15044557606619988,235.0,240062.47798676416,0.17686187141947804,595.0,1028055.0742173865,0.16365372374283896,180.0,170338.29961750656,0.15044557606619988,235.0,228248.3779867664
17050.0,7040.0,0.09448680351906158,1611.0,8798382.653106758,36,0.08791788856304986,112.0,86640.66196696274,0.0980058651026393,60.0,453988.2655324135,0.0980058651026393,60.0,34802.7655324135,0.08557184750733138,152.0,65524.81243108027
19224.0,10861.0,0.1799833541406575,3460.0,23604543.718329042,39,0.1799833541406575,0.0,181764.00000000373,0.18393674573449853,76.0,1045415.5356944837,0.1799833541406575,0.0,272000.0,0.1799833541406575,0.0,212030.0
14960.0,6914.0,0.06864973262032086,1027.0,5996901.321289473,41,0.06864973262032086,0.0,74309.39999999944,0.06864973262032086,0.0,131120.03000000026,0.06864973262032086,0.0,0.0,0.06864973262032086,0.0,65065.0
21473.0,12472.0,0.19228798956829507,4129.0,24444698.263888977,43,0.18958692311274625,58.0,179278.91188694164,0.19857495459414148,135.0,1287870.8043610454,0.19531504680296186,65.0,237941.30932165682,0.18958692311274625,58.0,206137.81188694388
100199.0,41409.0,0.11841435543268895,11865.0,63122154.35484797,46,0.11610894320302598,231.0,768671.1843889207,0.12665795067815047,826.0,2963580.4873831645,0.12394335272807114,554.0,497357.1574308276,0.11594926097066836,247.0,775134.9271191657
26691.0,9712.0,0.06653928290434978,1776.0,7041562.838191462,48,0.04619534674609419,543.0,119875.35064933356,0.07762916338840808,296.0,524868.5119173955,0.07777902663819265,300.0,296963.4709744472,0.05024165449027762,435.0,141385.95049066003
41086.0,15179.0,0.08014895584870758,3293.0,17241479.954416446,50,0.07761767998831719,104.0,185132.4105025865,0.09545830696587645,629.0,1213814.89289172,0.1013240519885119,870.0,337592.4630443007,0.07761767998831719,104.0,269190.61050258577
16951.0,6310.0,0.06070438322222878,1029.0,4173770.410063028,51,0.0498495663972627,184.0,55106.55739932181,0.06070438322222878,0.0,195945.4599999995,0.06070438322222878,0.0,0.0,0.06070438322222878,0.0,50050.0
