value_lo,owner_occupied,improved,condo,count,sum_value
4750000,0,1,0,38,185554800
4750000,0,1,1,127,618011700
4750000,1,1,0,16,77512600
4750000,1,1,1,7,34299100
5000000,0,0,0,2,10134600
5000000,0,1,0,38,194501700
5000000,0,1,1,72,367781200
5000000,1,1,0,19,97335700
5000000,1,1,1,5,25432400
5250000,0,0,0,3,16219500
5250000,0,1,0,42,226264100
5250000,0,1,1,58,311340500
5250000,1,1,0,11,58943300
5250000,1,1,1,3,16192000
5500000,0,1,0,37,207558600
5500000,0,1,1,96,536302200
5500000,1,1,0,14,78742300
5500000,1,1,1,2,11275600
5750000,0,0,0,2,11886900
5750000,0,1,0,20,117302500
5750000,0,1,1,37,215435400
5750000,1,1,0,9,52940700
5750000,1,1,1,4,23238200
6000000,0,0,1,1,6437100
6000000,0,1,0,42,262129800
6000000,0,1,1,55,343341500
6000000,1,1,0,19,118166000
6000000,1,1,1,4,25001800
6500000,0,0,0,2,13316200
6500000,0,1,0,34,228369200
6500000,0,1,1,44,295960400
6500000,1,1,0,12,81328100
6500000,1,1,1,2,13414100
7000000,0,0,0,1,7366700
7000000,0,0,1,1,7014200
7000000,0,1,0,26,188106800
7000000,0,1,1,17,123753700
7000000,1,1,0,12,87422700
7000000,1,1,1,2,14638500
7500000,0,1,0,27,208525100
7500000,0,1,1,18,138027300
7500000,1,1,0,10,77740200
8000000,0,0,0,2,16354100
8000000,0,1,0,15,124503100
8000000,0,1,1,9,74273300
8000000,1,1,0,10,81503600
8500000,0,0,0,3,26292500
8500000,0,0,1,1,8687200
8500000,0,1,0,13,113431700
8500000,0,1,1,5,43543900
8500000,1,1,0,6,52320700
9000000,0,0,0,1,9245400
9000000,0,0,1,1,9300000
9000000,0,1,0,9,83107600
9000000,0,1,1,9,83995400
9000000,1,1,0,2,18456900
9500000,0,1,0,11,107411500
9500000,0,1,1,21,202919200
9500000,1,1,0,3,29453800
10000000,0,0,0,2,21493500
10000000,0,0,1,2,24266500
10000000,0,1,0,49,547442800
10000000,0,1,1,52,554732900
10000000,1,1,0,13,144391700
10000000,1,1,1,3,35338200
12500000,0,0,0,1,13111400
12500000,0,0,1,1,14479000
12500000,0,1,0,23,312258800
12500000,0,1,1,13,181617800
12500000,1,1,0,5,66781700
12500000,1,1,1,2,28186200
15000000,0,0,0,1,16141900
15000000,0,0,1,2,36043700
15000000,0,1,0,39,673572600
15000000,0,1,1,18,307861600
15000000,1,1,0,3,51493800
15000000,1,1,1,4,65170900
20000000,0,0,1,1,25606800
20000000,0,1,1,7,156014600
