county,group,value_lo,owner_occupied,improved,condo,count,sum_value
Honolulu,residential,4000000,0,1,0,80,328852500
Honolulu,residential,4000000,0,1,1,56,230361500
Honolulu,residential,4000000,1,1,0,128,527140200
Honolulu,residential,4000000,1,1,1,26,106806400
Honolulu,residential,4250000,0,0,0,6,26277900
Honolulu,residential,4250000,0,1,0,79,345232600
Honolulu,residential,4250000,0,1,1,77,336401700
Honolulu,residential,4250000,1,1,0,97,423485600
Honolulu,residential,4250000,1,1,1,21,91753000
Honolulu,residential,4500000,0,0,0,1,4629400
Honolulu,residential,4500000,0,0,1,1,4678900
Honolulu,residential,4500000,0,1,0,62,286347300
Honolulu,residential,4500000,0,1,1,48,221248700
Honolulu,residential,4500000,1,1,0,65,301050000
Honolulu,residential,4500000,1,1,1,8,37380900
Honolulu,residential,4750000,0,0,0,3,14544100
Honolulu,residential,4750000,0,1,0,66,321612400
Honolulu,residential,4750000,0,1,1,15,72716000
Honolulu,residential,4750000,1,1,0,63,306915800
Honolulu,residential,4750000,1,1,1,5,24116100
Honolulu,residential,5000000,0,0,0,2,10300800
Honolulu,residential,5000000,0,1,0,41,210074500
Honolulu,residential,5000000,0,1,1,11,56803000
Honolulu,residential,5000000,1,1,0,47,239725400
Honolulu,residential,5000000,1,1,1,8,40949000
Honolulu,residential,5250000,0,0,0,2,10917400
Honolulu,residential,5250000,0,1,0,46,247513400
Honolulu,residential,5250000,0,1,1,18,96623400
Honolulu,residential,5250000,1,1,0,37,199389900
Honolulu,residential,5250000,1,1,1,8,43064100
Honolulu,residential,5500000,0,0,0,4,22549800
Honolulu,residential,5500000,0,1,0,43,241933000
Honolulu,residential,5500000,0,1,1,9,50071400
Honolulu,residential,5500000,1,1,0,41,231091300
Honolulu,residential,5500000,1,1,1,8,44711000
Honolulu,residential,5750000,0,0,0,2,11543300
Honolulu,residential,5750000,0,1,0,43,252369100
Honolulu,residential,5750000,0,1,1,33,194658700
Honolulu,residential,5750000,1,1,0,31,182695600
Honolulu,residential,5750000,1,1,1,5,29704200
Honolulu,residential,6000000,0,0,0,7,43719500
Honolulu,residential,6000000,0,1,0,49,303479200
Honolulu,residential,6000000,0,1,1,25,154803400
Honolulu,residential,6000000,1,1,0,42,261465100
Honolulu,residential,6000000,1,1,1,9,55182600
Honolulu,residential,6500000,0,0,0,4,26589300
Honolulu,residential,6500000,0,0,1,1,6775000
Honolulu,residential,6500000,0,1,0,55,369882800
Honolulu,residential,6500000,0,1,1,37,252324700
Honolulu,residential,6500000,1,1,0,24,161116300
Honolulu,residential,6500000,1,1,1,16,108724700
Honolulu,residential,7000000,0,0,0,2,14545200
Honolulu,residential,7000000,0,1,0,42,302491000
Honolulu,residential,7000000,0,1,1,18,129115600
Honolulu,residential,7000000,1,1,0,21,152466800
Honolulu,residential,7000000,1,1,1,9,64529000
Honolulu,residential,7500000,0,0,0,3,23220200
Honolulu,residential,7500000,0,1,0,30,232016200
Honolulu,residential,7500000,0,1,1,14,107791900
Honolulu,residential,7500000,1,1,0,18,139681900
Honolulu,residential,7500000,1,1,1,2,15646200
Honolulu,residential,8000000,0,0,0,4,33198800
Honolulu,residential,8000000,0,1,0,24,197730400
Honolulu,residential,8000000,0,1,1,10,82276600
Honolulu,residential,8000000,1,1,0,3,25203200
Honolulu,residential,8000000,1,1,1,1,8038900
Honolulu,residential,8500000,0,0,0,9,78962000
Honolulu,residential,8500000,0,1,0,21,182935300
Honolulu,residential,8500000,0,1,1,4,34953800
Honolulu,residential,8500000,1,1,0,10,87330900
Honolulu,residential,8500000,1,1,1,4,35079200
Honolulu,residential,9000000,0,0,0,2,18114600
Honolulu,residential,9000000,0,1,0,12,111129900
Honolulu,residential,9000000,0,1,1,12,109671600
Honolulu,residential,9000000,1,1,0,5,46320900
Honolulu,residential,9000000,1,1,1,5,45718300
Honolulu,residential,9500000,0,0,1,1,9527600
Honolulu,residential,9500000,0,1,0,15,146014600
Honolulu,residential,9500000,0,1,1,5,49031600
Honolulu,residential,9500000,1,1,0,5,48569700
Honolulu,residential,9500000,1,1,1,1,9780400
