tax_year,income_bracket,agi_low,agi_high,agi_median,filer_count,avg_act46_tax,avg_cd1_tax,avg_bracket_change,avg_credit_loss,avg_total_change,total_act46_$M,total_cd1_$M,total_bracket_$M,total_credit_loss_$M,total_change_$M,pct_pay_more,pct_pay_less,pct_no_change,pct_credit_claimant,avg_credit_loss_per_claimant,household_count,avg_per_hh_total_change,avg_per_hh_bracket_change,avg_per_hh_credit_loss,cor_scale_factor,total_change_cor_$M,total_bracket_cor_$M,avg_total_change_cor,avg_per_hh_total_change_cor,avg_per_hh_bracket_change_cor
2028,$10K–$30K,10002.720494123472,29996.283680909353,19427.480496463504,102562.70267229216,114.94775338662073,111.77841952691365,-3.1693338597070735,12.731470157713538,9.562136298006465,11.789352253439946,11.46429680711758,-0.32505544632236466,1.3057739883667343,0.9807185420443695,0.8670171330431908,16.387800030446627,82.74518283651018,0.8670171330431908,1468.421980662211,102562.70267229216,9.562136298006465,-3.1693338597070735,12.731470157713538,1.0581046452243001,1.0377028449947505,-0.3439426777091522,10.117740835188533,10.117740835188533,-3.353486879222715
2028,$30K–$60K,30001.82575235025,59997.52533877193,44287.87108394086,153224.73322769697,984.5366434992452,938.2389061982338,-46.29773730101144,12.209302544821682,-34.088434756189756,150.85536455306405,143.76140610607058,-7.093958446993473,1.870767125326544,-5.223191321666929,1.0763282158563037,83.38849537595708,15.535176408186615,1.0763282158563037,1134.3475312600835,153224.73322769697,-34.088434756189756,-46.29773730101144,12.209302544821682,1.0581046452243001,-5.526683000351029,-7.5061503857919565,-36.06913116394986,-36.06913116394986,-48.987850901574554
2028,$60K–$100K,60003.26023363401,99971.66181051628,77939.2285779335,120962.81050391366,2673.0088772080694,2589.7734098575042,-83.23546735056502,30.40743099282193,-52.828036357743095,323.33466628899873,313.2662702246676,-10.068396064331088,3.6781683130955503,-6.390227751235539,1.8358960260852148,98.16410397391479,0.0,1.8358960260852148,1656.2719544451227,120962.81050391366,-52.828036357743095,-83.23546735056502,30.40743099282193,1.0581046452243001,-6.761529667623558,-10.653416645626786,-55.897590668206185,-55.897590668206185,-88.07183465104842
2028,$100K–$175K,100015.37852866716,174988.48495686945,131249.3061652302,102697.2392648839,5182.241137126158,5084.053795978926,-98.18734114723124,89.60027643314338,-8.587064714087857,532.201857987769,522.118289121189,-10.083568866579988,9.201701027054263,-0.8818678395257226,3.3271698748489675,96.67283012515104,0.0,3.3271698748489675,2692.9877284131953,102697.2392648839,-8.587064714087857,-98.18734114723124,89.60027643314338,1.0581046452243001,-0.9331084574760847,-10.669471058167415,-9.086013062818038,-9.086013062818038,-103.89248177010843
2028,$175K–$350K,175027.04424913655,349787.17241467175,231349.85723806688,51588.85834732259,10538.122414663561,10444.504655570452,-93.61775909310853,261.7217170573747,168.10395796426613,543.6497044968236,538.8200711841754,-4.829633312648148,13.501924587690946,8.672291275042797,9.702651136940514,90.29734886305948,0.0,4.834542842272342,5413.577365969926,51588.85834732259,168.10395796426613,-93.61775909310853,261.7217170573747,1.0581046452243001,9.176191682860953,-5.11025744284303,177.87157880258047,177.87157880258047,-99.0573857719076
2028,$350K–$500K,350143.0605261402,499917.3001494561,406552.3886933201,6916.069765004122,22116.23467825193,22326.480567523213,210.24588927128244,492.51630228623173,702.7621915575141,152.95742197399383,154.41149721199935,1.454075238005521,3.406277107013438,4.860352345018959,31.692075272750536,68.30792472724946,0.0,5.525099034463454,8914.162428837988,6916.069765004122,702.7621915575141,210.24588927128244,492.51630228623173,1.0581046452243001,5.142761393691381,1.5385637638392717,743.5959393750152,743.5959393750152,222.4621520772578
2028,$500K–$1M,522203.8657316928,995211.2643092488,660841.9683081933,4899.875859253734,50983.02477316395,53183.70510724132,2200.6803340773736,492.5163022862316,2693.196636363605,249.81049231776112,260.5935527606413,10.783060442880165,2.413268739861221,13.196329182741387,100.0,0.0,0.0,5.525099034463454,8914.162428837986,4899.875859253734,2693.196636363605,2200.6803340773736,492.5163022862316,1.0581046452243001,13.963097208167653,11.409606344345901,2849.683871438791,2849.683871438791,2328.5500841410335
2028,$1M+,1011947.9318061145,260787691.53332296,4137644.3793318914,2470.6937710812026,385559.46632329945,429117.35346087324,43557.887137573765,492.51630228623185,44050.40343985999,952.5993718263687,1060.2175722586303,107.61820043226155,1.2168569602145396,108.83505739247605,100.0,0.0,0.0,5.5250990344634525,8914.162428837994,2470.6937710812026,44050.40343985999,43557.887137573765,492.51630228623185,1.0581046452243001,115.1588797902322,113.87131778805573,46609.936503720346,46609.936503720346,46088.80271642259
2029,Under $10K,-19783.86927868308,9994.965029390803,2942.711585034868,97903.26267874391,0.0,0.0,0.0,27.20930385800258,27.20930385800258,0.0,0.0,0.0,2.6638796229157866,2.6638796229157866,0.5617516759717668,0.0,99.43824832402824,0.5617516759717668,4843.6533475282595,97903.26267874391,27.20930385800258,0.0,27.20930385800258,1.0823555683674526,2.8832649433234914,0.0,29.450141542111105,29.450141542111105,0.0
2029,$10K–$30K,10004.771725852743,29993.795187344866,19390.79053700754,101014.11357406927,106.62740029824779,106.5801370411869,-0.047263257060873545,14.16293313986549,14.115669882804617,10.77087232383495,10.766098067818321,-0.004774256016627512,1.430656136732322,1.4258818807156948,0.8670171330431908,2.0746821174987518,97.05830074945806,0.8670171330431908,1633.5240216250672,101014.11357406927,14.115669882804617,-0.047263257060873545,14.16293313986549,1.0823555683674526,1.5433111934268882,-0.005167442584408601,15.278173898890325,15.278173898890325,-0.05115564945901881
