tax_year,quintile,household_count,avg_per_hh_act46_tax,avg_per_hh_cd1_tax,avg_per_hh_bracket_change,avg_per_hh_credit_loss,avg_per_hh_total_change,total_act46_$M,total_cd1_$M,total_bracket_$M,total_credit_loss_$M,total_change_$M,pct_pay_more,pct_pay_less,pct_no_change,pct_credit_claimant,avg_credit_loss_per_claimant,filer_count,avg_total_change,avg_bracket_change,avg_credit_loss,cor_scale_factor,total_change_cor_$M,total_bracket_cor_$M,avg_total_change_cor,avg_per_hh_total_change_cor,avg_per_hh_bracket_change_cor
2029,Q1 (bottom 20%),81005.0,108.60115024887025,105.51109732687067,-3.090052921999584,22.62074189137257,19.53068896937299,8.797236175909735,8.546926438963158,-0.25030973694657627,1.832393196910635,1.5820834599640587,0.8809905021116415,10.856399371643517,88.26261012624484,0.8809905021116415,2567.6487813606427,93517.37586734569,17.307895193816165,-2.610326342281652,19.918221536097814,1.0823555683674526,1.7123768425141448,-0.2709241376007191,18.733296739747196,21.13914996005364,-3.3445359866763673
2029,Q2,89419.0,995.5572964676887,942.7868001976663,-52.770496270022484,24.43081543636513,-28.33968083365737,89.02173789284426,84.30305288687512,-4.7186850059691405,2.1845790855043337,-2.534105920464808,1.5759417028608587,77.53259634461746,20.89146195252168,1.5759417028608587,1550.2359885530707,106849.59873062756,-22.667171202333023,-43.3558116160657,20.688640413732678,1.0823555683674526,-2.7428036538480143,-5.107294991582705,-24.533938969983513,-30.673611356065425,-57.11644048337272
2029,Q3,100606.0,2195.7271050814957,2084.5136964865733,-111.21340859492186,50.650204373402566,-60.5632042215193,220.90332113382894,209.7145849487282,-11.188736185100709,5.095714461190538,-6.09302172391017,2.6640493260708458,96.5779737703517,0.7579769035774433,2.6640493260708458,1901.2487448235636,120765.20824996574,-48.82103374095982,-91.01845558483873,42.19742184387891,1.0823555683674526,-6.594815991058028,-12.110190912938162,-52.84171772298315,-65.55092132733662,-120.37245206983839
2029,Q4,106687.0,4020.394543843681,3881.6406469368244,-138.75389690685594,81.00219014961787,-57.75170675723805,428.92383269905076,414.120595699749,-14.803236999301738,8.641880660492282,-6.161356338809456,3.725591450973754,96.24012700036178,0.034281548664466754,3.725591450973754,2174.2102218010627,137107.8205630326,-44.186633900163976,-105.66057894842776,61.47394504826379,1.0823555683674526,-6.668778342006515,-16.022365996057335,-47.82564924925653,-62.50788139142084,-150.181052949819
2029,Q5 (top 20%),116330.0,19141.228564977642,20364.91477360962,1223.6862086319798,255.64746317051114,1479.3336718024912,2226.6991189638493,2369.050535614007,142.3514166501582,29.739469390625562,172.0908860407838,23.605948609486337,76.38041666408134,0.013634726432329103,6.359984714303882,4019.623861603769,186796.7316632002,846.8190390387197,702.4793176748742,144.3397213638455,1.0823555683674526,186.26352877153107,154.07484847629402,916.5593023031334,1601.1650371488959,1324.4635818472796
2030,Q1 (bottom 20%),81005.0,105.64548845248888,102.46241504470267,-3.183073407786215,37.37128396718919,34.18821055940299,8.557812792093863,8.29996793069614,-0.25784486139772234,3.027260857762161,2.769415996364439,0.8876760315882132,11.07772524872148,88.03459871969031,0.8876760315882132,4210.0138606114215,93517.37586734569,30.205901304979076,-2.6891371074144548,32.895038412393525,1.0853137148846388,3.0056851630752326,-0.27984256438747684,32.7828789567456,37.104933807483896,-3.4546332249549634
2030,Q2,89419.0,1020.8404789291883,967.171963119949,-53.66851580923937,42.696693724387096,-10.971822084852274,91.28253478536908,86.48354977022272,-4.798985015146376,3.8178956561409696,-0.9810893590054056,1.618523357757146,77.60639460670241,20.77508203554045,1.618523357757146,2638.0029376624907,106849.59873062756,-8.022331759617801,-44.11100244003002,36.08867068041222,1.0853137148846388,-1.0647897368559458,-5.208404254464227,-8.706746684067816,-11.907868985964344,-58.247176265270554
2030,Q3,100606.0,2291.9010608121216,2178.9683050523854,-112.9327557597366,92.87351301868961,-20.059242741046987,230.57899812406433,219.21728529810028,-11.36171282596406,9.343632650758288,-2.0180801752057733,2.778291936121994,96.46473921486873,0.756968849009283,2.778291936121994,3342.8277212770045,120765.20824996574,-15.187230800056042,-92.46349483383764,77.2762640337816,1.0853137148846388,-2.1902500918876204,-12.331022754599502,-16.48290987841923,-21.770571257058428,-122.56746868575931
2030,Q4,106687.0,4167.068043096626,4027.749959812177,-139.3180832844489,146.40245023480787,7.084366950358962,444.5719883138497,429.70855996248173,-14.863428351367999,15.619238208200947,0.7558098568329467,3.8476360074761824,96.11808244385934,0.034281548664480965,3.8476360074761824,3804.9974049088664,137107.8205630326,5.027846599924274,-106.15244927669261,111.1802958766169,1.0853137148846388,0.8202908034657923,-16.131482639944863,5.456790871233914,7.688760612500045,-151.20382652005273
2030,Q5 (top 20%),116330.0,20000.117824459307,21314.732243709004,1314.6144192496986,342.7358098706843,1657.3502291203831,2326.613706519351,2479.5428019106685,152.92909539131742,39.8704567622567,192.79955215357415,24.865297423488194,75.12106785007948,0.013634726432329103,6.457961863669366,5307.1823139560065,186796.7316632002,949.6581397402923,752.3757256233081,197.28241411698386,1.0853137148846388,209.24799817589022,165.976044633098,1030.677003511972,1798.7449340315502,1426.7690589968024
2031,Q1 (bottom 20%),81005.0,89.86673063602608,87.22165887929656,-2.645071756729518,38.671695581304874,36.02662382457535,7.279654515171292,7.0653904775174174,-0.2142640376538746,3.1326007005636014,2.9183366629097267,0.8944394508019837,9.818889777679273,89.28667077151874,0.8944394508019837,4323.56774364442,93517.37586734569,31.798619805402545,-2.2357716600428157,34.03439146544537,1.0938901584849716,3.1923397547028243,-0.23438132210682683,34.784197258535144,39.40916924514319,-2.8934179631729746
2031,Q2,89419.0,982.3254732515719,931.8230212766009,-50.502451974970796,45.32702702883604,-5.175424946134748,87.8385614926823,83.32268273953238,-4.515878753149914,4.05309742989149,-0.462781323258423,1.6427296947162138,74.98648702963506,23.370783275648733,1.6427296947162138,2759.2504825735446,106849.59873062756,-3.1978303675613104,-41.481075396135466,38.28324502857416,1.0938901584849716,-0.5062319350430412,-4.939875324982076,-3.498075167579697,-5.661346414554415,-55.24413519478047
2031,Q3,100606.0,2331.6944970041704,2219.7082969048015,-111.98620009936927,100.952026692562,-11.03417340680726,234.58245656560157,223.31597291840447,-11.266483647197145,10.156379597431892,-1.1101040497652515,2.8499824563010803,96.26010195085635,0.8899155928425699,2.8499824563010803,3542.1981798296774,120765.20824996574,-7.697194278560037,-91.6223944354289,83.92520015686887,1.0938901584849716,-1.2143318949325197,-12.324295582400826,-8.419885069263655,-12.070173696723053,-122.5006021748288
2031,Q4,106687.0,4236.581033344125,4098.26589409101,-138.31513925311583,161.2597698620265,22.944630608910657,451.9881207043847,437.23169344288755,-14.75642726149717,17.204321067270023,2.447893805772851,3.9425153541684708,96.02061899399797,0.03686565183355128,3.9425153541684708,4090.2762671938494,137107.8205630326,17.248557622539256,-105.3143538988604,122.56291152139964,1.0938901584849716,2.6777269431512445,-16.141910555751092,18.86802743135663,25.098905613160408,-151.30156959846178
2031,Q5 (top 20%),116330.0,20703.11678782421,22101.486848848857,1398.3700610246367,360.15873284027214,1758.528793864909,2408.3935759275905,2571.0659651265873,162.67238919899597,41.897265391308856,204.56965459030485,25.59414831361061,74.39221695995708,0.013634726432300681,6.520892955935692,5523.150514415896,186796.7316632002,1007.0284979919436,799.4923952378814,207.53610275406209,1.0938901584849716,223.77673188100448,177.94572560201868,1101.57856326729,1923.6373410212711,1529.6632476748794
